Year,Cause,Total_Fire_Size
2015,Recreation and ceremony,48954.55299999964
2015,Smoking,9005.440000000224
2016,Arson/incendiarism,417584.8599999711
2016,Debris and open burning,333500.6640000005
2016,Equipment and vehicle use,450268.8829999816
2016,Firearms and explosives use,28203.629999999997
2016,Fireworks,3966.2700000000086
2016,Missing data/not specified/undetermined,1847050.5940001146
2016,Misuse of fire by a minor,22693.754999999095
2016,Natural,1844639.4334001483
2016,Other causes,4725.5099999999975
2016,Power generation/transmission/distribution,107412.9781000017
2016,Railroad operations and maintenance,4986.0399999999945
2016,Recreation and ceremony,291891.25900000293
2016,Smoking,5358.314000000052
2017,Arson/incendiarism,356814.9149999975
2017,Debris and open burning,318688.49800000474
2017,Equipment and vehicle use,573265.811099983
2017,Firearms and explosives use,117601.99000000003
2017,Fireworks,99138.80000000252
2017,Missing data/not specified/undetermined,3201758.1810006085
2017,Misuse of fire by a minor,16154.215000000137
2017,Natural,5216725.623509775
2017,Other causes,2297.6499999999924
2017,Power generation/transmission/distribution,218528.53000000227
2017,Railroad operations and maintenance,6436.730000000023
2017,Recreation and ceremony,76519.32100000048
2017,Smoking,41732.95150000001
2018,Arson/incendiarism,314970.2130749826
2018,Debris and open burning,309476.7351874896
2018,Equipment and vehicle use,1182626.6748875652
2018,Firearms and explosives use,88666.65000000002
2018,Fireworks,5044.311800000074
2018,Missing data/not specified/undetermined,2512898.0809002845
2018,Misuse of fire by a minor,2636.5177999999987
2018,Natural,3121565.0471751275
2018,Other causes,94995.03190000073
2018,Power generation/transmission/distribution,346060.3012249942
2018,Railroad operations and maintenance,27065.401799999923
2018,Recreation and ceremony,219632.18273750605
2018,Smoking,17965.08505000001
2019,Arson/incendiarism,141505.89000000688
2019,Debris and open burning,113586.72700000428
2019,Equipment and vehicle use,116207.53000000176
2019,Firearms and explosives use,8173.300000000002
2019,Fireworks,4337.550000000002
2019,Missing data/not specified/undetermined,762964.0009999863
2019,Misuse of fire by a minor,964.2200000000004
2019,Natural,3407035.2900000415
2019,Other causes,10488.630000000032
2019,Power generation/transmission/distribution,148400.99000000246
2019,Railroad operations and maintenance,3437.840000000003
2019,Recreation and ceremony,193552.08500000517
2019,Smoking,5013.780000000075
2020,Arson/incendiarism,92849.56800000176
2020,Debris and open burning,163851.33290000225
2020,Equipment and vehicle use,599529.393999988
2020,Firearms and explosives use,42836.52999999999
2020,Fireworks,38308.85869999968
2020,Missing data/not specified/undetermined,4380078.354299703
2020,Misuse of fire by a minor,5008.012000000016
2020,Natural,4532663.1951999795
2020,Other causes,4532.834000000014
2020,Power generation/transmission/distribution,270604.2909999975
2020,Railroad operations and maintenance,27086.906999999985
2020,Recreation and ceremony,328335.63029999856
2020,Smoking,9697.441000000039
