STATE,Total_Number_of_Fires
DC,83
DE,198
VT,781
RI,787
IN,2277
IL,3022
NH,3081
MD,4157
IA,5672
OH,5675
CT,6714
MA,8371
HI,9970
NE,11743
PA,12861
AK,15195
ME,16439
KS,18576
MI,19127
WY,20009
ND,20020
NV,20210
PR,22202
MO,24510
VA,24542
WV,25064
KY,30874
NJ,32251
LA,33129
TN,34531
SD,36389
UT,36982
AR,37947
WI,38191
WA,40776
ID,42060
NM,43578
OK,50189
MN,51074
MT,51960
CO,68629
OR,71449
AL,74833
MS,84706
SC,88052
NY,99142
FL,103409
AZ,104956
NC,130165
TX,180087
GA,185040
CA,251881
