FIRE_YEAR,LATITUDE,LONGITUDE,FIRE_SIZE
2007,45.9875,-115.12833333,8401.0
2007,46.23111111,-115.11583333,6547.0
2007,34.77916667,-120.09,240207.0
2007,46.105,-114.835,20327.0
2007,45.31444444,-115.54138889,80628.66
2007,45.06972222,-115.72944444,95193.0
2007,45.51722222,-114.88416667,6233.0
2007,35.84,-81.89055556,5015.0
2007,45.22027778,-114.43805556,19941.0
2007,45.27,-114.805,19520.0
2007,44.60055556,-107.67083333,13450.0
2007,44.38333333,-117.07055556,23760.0
2007,48.16722222,-120.59944444,11791.0
2007,44.62083333,-114.62222222,60009.0
2007,46.86972222,-111.88222222,46298.0
2007,46.37305556,-115.58166667,5100.0
2007,42.20194444,-113.2175,72361.0
2007,47.4875,-120.38083333,5209.0
2007,45.13777778,-115.85583333,120077.0
2007,33.57027778,-109.38083333,15000.0
2007,48.27138889,-113.39527778,44176.0
2007,43.855,-119.68166667,31624.7
2007,44.34305556,-121.80638889,7357.0
2007,46.3675,-114.57111111,42694.0
2007,45.69111111,-113.25638889,15297.0
2007,43.6675,-119.43027778,55420.0
2007,45.74444444,-113.80944444,25877.0
2007,47.21638889,-113.03694444,25150.0
2007,33.74583333,-117.66666667,28476.0
2007,30.5,-82.36666667,123014.0
2007,46.60194444,-113.70027778,14233.0
2007,46.49583333,-113.66555556,18222.0
2007,46.3475,-113.7425,36045.0
2007,45.9875,-116.89777778,51000.0
2007,43.6375,-114.56111111,48000.0
2007,34.58916667,-111.02277778,7762.0
2007,34.25805556,-117.01027778,14039.0
2007,34.25194444,-117.05,12759.0
2007,34.57305556,-118.69833333,45300.0
2007,33.29583333,-108.34555556,8000.0
2007,33.07444444,-116.71111111,197990.0
2007,33.39694444,-117.14805556,9472.0
2007,34.52444444,-118.33472222,38356.0
2007,33.2775,-116.86805556,49390.0
2007,42.93111111,-110.48,8590.0
2007,39.135,-111.39722222,5315.0
2007,48.33472222,-114.90138889,29921.0
2008,31.36527778,-111.12388889,5070.0
2008,36.10527778,-121.43083333,81378.0
2008,31.76472222,-109.16527778,8609.0
2008,41.03472222,-123.00277778,13116.0
2008,36.28111111,-121.65833333,162818.0
2008,39.84222222,-120.83666667,5512.0
2008,34.66,-106.46666667,13709.0
2008,34.77055556,-106.38305556,5478.0
2008,41.5925,-123.43166667,44452.0
2008,41.61555556,-123.57694444,10388.0
2008,34.50083333,-119.86055556,9443.0
2008,40.73416667,-123.16666667,32059.0
2008,32.44777778,-104.92916667,49092.0
2008,40.83333333,-123.43416667,12720.0
2008,45.54055556,-114.50944444,5311.0
2008,45.16944444,-109.4875,10173.0
2008,40.02,-121.1675,6112.0
2008,37.52694444,-103.76944444,45814.0
2008,32.06166667,-110.52916667,7950.0
2008,40.66972222,-123.30555556,24776.0
2008,40.51833333,-123.42277778,25199.0
2008,40.40666667,-123.13194444,6625.0
2008,40.32583333,-122.96222222,12856.0
2008,40.46333333,-122.88277778,10213.0
2008,40.14583333,-122.86611111,32903.0
2008,40.06722222,-122.93083333,17449.0
2008,39.89388889,-122.7075,7783.0
2008,40.17916667,-121.47027778,14936.0
2008,33.475,-109.3875,8300.0
2008,34.17361111,-112.33972222,9629.0
2008,44.495,-109.8225,68148.0
2008,41.78,-115.32666667,54545.0
2007,40.97166667,-115.26361111,7631.9
2008,39.21555556,-120.64861111,9164.0
2008,43.32944444,-122.54388889,19775.0
2008,36.0025,-121.43972222,11200.0
2008,45.14361111,-114.92777778,5500.0
2008,36.11666667,-118.13361111,15300.0
2008,35.41916667,-118.40027778,37026.0
2008,41.56333333,-123.59472222,65834.0
2008,41.56527778,-123.82055556,17540.0
2008,40.77111111,-123.52777778,15118.0
2008,41.35638889,-123.37611111,38394.0
2008,41.45333333,-123.39305556,13654.0
2008,41.42527778,-123.43111111,8332.0
2008,42.71916667,-122.25611111,21125.0
2008,39.16333333,-120.66,10836.0
2008,44.52361111,-111.56444444,5664.0
2008,40.86666667,-123.28527778,31419.0
2008,40.78138889,-123.43361111,25398.0
2008,40.71666667,-122.43444444,28336.0
2008,39.97,-121.29638889,11496.0
2008,36.90361111,-118.80111111,7456.0
2008,43.62527778,-115.22888889,37725.0
2008,31.57,-111.14361111,8135.0
2008,30.09916667,-84.69111111,10458.0
2008,39.78611111,-121.18722222,13009.0
2008,43.10833333,-109.91277778,15089.0
2008,40.07555556,-123.09638889,32250.0
2008,37.5675,-119.99694444,34091.0
2008,38.58777778,-116.6775,6182.0
2008,40.11972222,-122.98361111,6246.0
2008,34.33,-118.41111111,11222.0
2008,35.44333333,-112.02277778,10788.73
2008,33.87277778,-117.73888889,30305.0
2008,40.875,-120.875,12500.0
2009,34.47416667,-119.72805556,8733.0
2009,29.19194444,-81.69722222,10022.0
2009,31.50222222,-109.08361111,16802.0
2009,31.56444444,-109.00583333,8591.0
2009,33.75944444,-108.52888889,9000.0
2009,37.43833333,-113.39277778,12607.0
2009,44.92472222,-118.65138889,6900.0
2009,40.61361111,-112.66638889,44345.0
2009,46.5525,-114.23527778,6990.0
2009,40.68333333,-121.46666667,9356.0
2009,40.98055556,-121.81388889,6923.0
2009,34.94972222,-119.97777778,91622.0
2009,38.175,-120.24916667,6130.0
2009,43.47416667,-122.10194444,14560.0
2009,37.64638889,-108.71833333,7300.0
2009,34.22972222,-117.47833333,7128.0
2009,34.5275,-110.77111111,6399.0
2009,46.06361111,-113.71666667,5280.0
2009,35.0225,-112.0775,7718.0
2009,35.46722222,-111.91638889,13790.0
2009,43.1525,-122.53472222,10721.0
2009,43.1425,-122.45944444,5740.0
2009,34.2425,-118.18888889,160371.0
2009,41.04,-123.46333333,5065.0
2009,33.14194444,-108.02194444,7055.0
2009,33.27555556,-108.03805556,22000.0
2009,33.60527778,-109.44388889,6322.0
2009,43.33861111,-122.78694444,8395.0
2009,31.77083333,-110.82222222,5791.0
1992,45.18333333,-105.88333333,7379.0
1992,45.44166667,-115.98833333,6080.0
1992,45.51333333,-115.81666667,13925.0
1992,45.47833333,-115.635,23654.0
1992,33.31666667,-108.41666667,29000.0
1992,33.18333333,-108.58333333,6000.0
1992,43.48,-115.68833333,177544.0
1992,43.655,-115.96666667,12860.0
1992,44.40333333,-115.325,8310.0
1992,41.81666667,-115.66666667,38200.0
1992,41.75,-117.6,7180.0
1992,45.01333333,-116.81,17500.0
1992,45.24666667,-116.17833333,6500.0
1992,42.12138889,-114.17555556,9500.0
1992,38.775,-120.45,24580.0
1992,37.55,-119.095,8800.0
1992,40.60166667,-123.09833333,5050.0
1992,40.76166667,-121.98,64000.0
1992,38.16833333,-120.60666667,18000.0
1992,42.26,-120.96833333,10706.0
1992,42.595,-121.67333333,30809.0
1992,30.06,-85.01,7400.0
1993,33.41666667,-108.16666667,13820.0
1993,33.66666667,-107.78333333,14700.0
1993,33.08333333,-108.5,32000.0
1993,33.25166667,-108.38,11000.0
1993,33.39666667,-108.495,6400.0
1993,32.95166667,-105.61833333,5350.0
1993,34.185,-118.08666667,5700.0
1993,33.47166667,-117.48833333,21384.0
1993,33.15833333,-116.97333333,20768.0
1993,34.68666667,-119.95833333,43201.0
1993,33.94,-116.88333333,8780.0
1993,32.46333333,-110.38666667,35696.0
1994,46.44666667,-114.95333333,8212.0
1994,47.71,-113.33166667,8497.0
1994,48.30333333,-114.83333333,10610.0
1994,45.67,-109.99166667,12500.0
1994,48.75333333,-115.48833333,9000.0
1994,48.48833333,-115.71333333,5897.0
1994,47.425,-114.76,8203.0
1994,43.86666667,-104.69166667,7150.0
1994,33.81833333,-107.59833333,6000.0
1994,33.70166667,-107.46166667,22200.0
1994,36.35833333,-103.26166667,6060.0
1994,31.90666667,-109.30333333,27720.0
1994,32.93833333,-110.23,11809.0
1994,32.26833333,-110.45333333,5153.0
1994,32.19,-110.49833333,14590.0
1994,33.02333333,-109.03666667,5500.0
1994,33.09833333,-107.90166667,6250.0
1994,33.74333333,-105.68333333,5133.0
1994,33.77166667,-111.0,5760.0
1994,43.695,-115.93333333,30655.0
1994,43.78166667,-115.62833333,146400.0
1994,44.72333333,-115.65166667,13400.0
1994,44.51833333,-114.85166667,7848.0
1994,39.43333333,-112.21666667,12031.0
1994,45.115,-116.17833333,115659.0
1994,45.04166667,-115.97333333,8300.0
1994,44.95666667,-116.005,55890.0
1994,45.305,-115.42,12568.0
1994,45.295,-115.48166667,84677.0
1994,41.61666667,-111.35666667,10500.0
1994,33.15833333,-116.86666667,5120.0
1994,41.635,-123.63833333,28953.0
1994,41.365,-123.15,7015.0
1994,40.135,-121.67833333,44683.0
1994,34.30166667,-117.12833333,12303.0
1994,33.63666667,-116.50833333,20901.0
1994,33.85,-116.68333333,6420.0
1994,35.455,-118.71333333,5179.0
1994,37.20833333,-119.295,5250.0
1994,39.54166667,-120.31666667,46800.0
1994,39.50166667,-120.06666667,7310.0
1994,43.87,-118.75666667,5757.2
1994,44.12333333,-118.30833333,5780.0
1994,48.78166667,-119.98166667,8900.0
1994,42.13666667,-123.725,6998.0
1994,45.03333333,-118.525,11081.0
1994,45.69833333,-117.035,5700.0
1994,45.375,-116.73,7449.0
1994,42.08666667,-117.05333333,22330.0
1994,45.29,-116.64833333,7517.0
1994,47.83333333,-120.33333333,140000.0
1994,47.65166667,-120.765,12060.0
1994,47.54666667,-120.74333333,29435.0
1994,48.70444444,-118.47333333,10580.0
1994,34.88333333,-77.11666667,24600.0
1995,41.87944444,-100.48416667,6885.0
1995,33.545,-109.14,19725.0
1995,33.39833333,-108.13333333,10000.0
1995,33.185,-107.85166667,29000.0
1995,33.25833333,-108.56833333,7691.0
1995,33.68,-108.54666667,13000.0
1995,33.95,-111.58333333,22092.0
1995,34.15,-112.02,7000.0
1995,33.58333333,-111.585,9500.0
1995,40.51,-115.36833333,11034.0
1995,40.21666667,-112.71666667,7063.0
1995,32.975,-116.44166667,7083.0
1995,32.88833333,-116.82666667,8100.0
1995,37.41333333,-118.6,5550.0
1995,33.95166667,-116.69166667,23455.0
1995,48.00666667,-90.77333333,12600.0
1996,34.57166667,-111.40166667,7000.0
1996,32.69833333,-109.95666667,6716.0
1996,35.42,-111.78166667,8650.0
1996,34.20833333,-105.77666667,7100.0
1996,41.565,-121.24666667,23398.0
1996,33.70666667,-111.33666667,58960.0
1996,39.48333333,-119.98166667,6700.0
1996,43.17833333,-105.74833333,9500.0
1996,37.45333333,-113.78,7376.0
1996,41.97,-117.565,58307.0
1996,44.67333333,-114.68666667,20000.0
1996,45.445,-115.08333333,8100.0
1996,45.57,-114.75166667,38710.0
1996,36.455,-112.43833333,35907.0
1996,36.58,-112.56666667,17688.0
1996,44.86833333,-118.68333333,8332.0
1996,44.77666667,-118.64166667,37835.0
1996,45.075,-118.56666667,50633.0
1996,44.96,-119.87666667,22000.0
1996,43.79666667,-122.035,10400.0
1996,35.38,-111.75333333,16400.0
1996,44.90027778,-118.29388889,10137.0
1996,38.185,-112.38666667,10405.2
1996,45.17833333,-109.655,14890.0
1996,37.62166667,-103.62166667,9523.0
1996,39.33833333,-105.33833333,11875.0
1996,44.295,-118.74166667,10146.2
1996,35.77666667,-106.415,16575.0
1996,43.64277778,-116.185,15263.0
1996,45.43666667,-116.5225,16100.0
1996,45.56555556,-116.57194444,52600.0
1996,33.215,-108.62,17000.0
1996,33.27333333,-108.495,6500.0
1996,37.855,-119.82666667,12371.0
1996,39.25833333,-122.91666667,83323.0
1996,43.035,-122.535,16358.0
1996,36.87,-119.31333333,5607.0
1996,38.75,-112.35,15706.4
1996,34.45944444,-118.9375,10925.0
1996,33.735,-116.835,9620.0
1996,34.525,-118.64333333,22000.0
1996,35.42,-120.42277778,106668.0
1996,36.63166667,-105.66666667,7525.0
1996,35.96833333,-121.48333333,25620.0
1997,42.0,-100.5,9000.0
1997,35.14166667,-120.16833333,49490.0
1997,33.275,-108.36833333,25000.0
1997,33.76833333,-117.66,6317.0
1997,33.495,-117.00666667,7231.0
1997,35.61,-118.11666667,5693.0
1997,34.16333333,-117.905,5200.0
1997,34.28333333,-117.75,18186.0
1998,30.165,-84.51166667,24602.0
1998,30.34,-82.50666667,20100.0
1998,36.02333333,-106.30333333,5185.0
1998,45.2625,-115.25388889,7198.0
1998,45.37666667,-114.31833333,5954.0
1998,45.40333333,-114.805,7980.0
1998,47.96666667,-120.39,8500.0
1998,47.455,-114.25,7038.0
1998,41.88833333,-121.69666667,9700.0
1998,33.90666667,-116.86666667,28164.0
1998,48.26666667,-113.37666667,8800.0
1999,41.70972222,-121.07333333,30568.0
1999,30.26666667,-84.43333333,6675.0
1999,30.475,-82.395,69060.0
1999,38.26666667,-115.43333333,8312.0
1999,34.23361111,-117.85,7200.0
1999,33.27388889,-116.85694444,6800.0
1999,40.86583333,-122.43555556,5440.0
1999,40.83555556,-122.43444444,5760.0
1999,40.78361111,-122.4675,14090.0
1999,40.71861111,-122.20111111,26202.0
1999,41.1025,-123.375,124898.0
1999,36.26833333,-121.61722222,23761.0
1999,36.01694444,-121.50055556,49551.0
1999,36.21805556,-121.63444444,12960.0
1999,35.04555556,-119.97722222,14537.0
1999,40.30055556,-121.83166667,17000.0
2000,30.46166667,-82.60333333,6179.0
1999,40.08333333,-111.81666667,8826.0
1999,39.90166667,-121.31666667,34175.0
1999,39.47138889,-121.08638889,11725.0
1999,40.22,-121.66222222,60390.0
1999,44.86388889,-114.84972222,7878.0
1999,34.2675,-117.13472222,65000.0
2000,33.50194444,-108.50222222,11000.0
2000,45.54333333,-115.02416667,15230.0
2000,44.47833333,-120.5875,18500.0
1999,47.725,-103.28611111,7979.0
1999,47.67083333,-104.01666667,51627.0
2000,40.44527778,-105.33527778,10599.0
2000,36.31916667,-111.98472222,15427.0
2000,48.89333333,-119.41305556,9404.0
1999,43.45138889,-105.46944444,10000.0
2000,35.66777778,-105.63444444,28348.0
2000,43.7225,-115.12305556,35238.0
2000,45.82166667,-116.23166667,22527.0
2000,35.38444444,-111.90083333,8759.0
2000,33.1675,-108.31861111,16452.0
2000,33.28527778,-108.33527778,7081.0
2000,42.19305556,-113.18916667,10944.0
2000,41.97333333,-114.45027778,56010.0
2000,35.93027778,-121.43333333,5856.0
2000,44.90194444,-115.95083333,8530.0
2000,45.38472222,-115.28555556,74998.0
2000,45.50138889,-115.0675,15040.0
2000,45.15138889,-115.18583333,149772.0
2000,44.86694444,-115.3175,9371.0
2000,45.27666667,-115.89166667,64631.0
2000,38.68555556,-117.25222222,7530.0
2000,41.72027778,-115.19555556,31194.0
2000,33.78472222,-110.91722222,9359.0
2000,45.59305556,-105.93472222,9264.0
